tsʔàʷm,tsʔoom,my eye,
noojā,,my eye,
nʔaʷm,nʔõ,their eyes,
tsʔaʷm,,his heart,
nõõm,nʔõ,his eyes,
nhaʷmʔ,nʔõ,your black eyes,
ntōm,nʔõ,your black eyes,
nõõja,nʔõ,my light eyes,
kaʃoe,nʔõ,my light eyes,
ntɛɛajaá,,our eyes,
nʔaᵚm,,our eyes,
ntɛajaá,,our eyes,
ntɛɛʔjō,,your (pl) eyes,
ntɛɛna,nʔõ,their eyes,
ʃkejnʔ,,your head,
ʃkiẽẽjā,,my head,
ʃkjẽẽjā,,my head,
ʃkẽẽjā,,my head,
ʃkẽj̃n,,a person's two heads,
nkẽẽãjaá,,our heads,
nkejʔjōʔ,,their heads,
nkeejna,,his heads,
tsʔãh,,a person's two heads,
nkeeinaʔa,,people's heads,
inaʔa,,people,
wè,,a person's two heads,
tsʔɔɔjā,,my hand,
lʔɔɔ̄jā,,my hands,
tsʔɔʔ,,your hand,
tsʔɔ̃ɔ̃,,his hand,
tsʔõõjā,,my heart,
tsʔoojā,,my hand,
tsʔɔ̄oojā,,my hand,
naʷm,,their hearts,
ntkejn,,something is placed,
ʃkieejā,,something is placed,
lʔɔʔ,,your hands,
lɔ̃ʔɔ̃ɔ᷈,,their hands,
noʔoojaá,,our hearts,
ʔnaʷm,,our hearts,
naʔaʷmna,,their hearts,
inaʷm,,our hearts,
kátsoeʔ,,my dog,
tsumɛɛʔa,,my dog,
tsumɛɛʔjā,,my donkey,
snaʷm,,donkey,
katsoeʔ,,their dog,
tsumɛjʔ,,your dog,
tsumɛjʔẽʔ,,his dog,
hntumɛɛʔjaá,,our dog,
hnmɛjʔna,,sus perros,
kaloeʔ,,sus perros,
kjooʔ,,animal,
nkjooʔ,nkiooʔ,animals,
kaanoom,,donkeys,
tʃũmẽj̃n,,cat,
nũmẽj̃n,,cats,
kaaso,,horse,
kaanso,,many horses,
kaʃti,,many chickens,
katskuu,,pig,
kalkuu,,pigs,
kaantʃʔjoo,,many goats,
hnde,,many horses,
nte,,many,
kjooʔ-ʃke,,cow,
ʃke,,cow,
kjooʔ-hntʲo,,bull,
hndtʲo,,male animal,
kjooʔ-hndtʲo,,bull,
hntʲo,,male ,
jūskù,,woman,
tsatsʔãh,,man,
kjooʔ-ntʔke,,cows,
ntʲkjeeʔ,,seven,
kjoonʔtʲo,,bulls,
kjoʔ-hndtʲo,,bulls,
katsuu,,snake,
kantuu,,snakes,
katʃom,,fly,
kaaɲaʷm,,flies,
katʃi,,eagle,
kaantih,,eagles,
katʃiʔ,,rat,
kanti,,rats,
