Wordform,POS
tsʔàʷm,misc
noojā,misc
nʔaʷm,misc
tsʔaʷm,sust.
nõõm,misc
nhaʷmʔ,misc
ntōm,misc
nõõja,misc
kaʃoe,misc
ntɛɛajaá,misc
nʔaᵚm,misc
ntɛajaá,misc
ntɛɛʔjō,misc
ntɛɛna,misc
ʃkejnʔ,misc
ʃkiẽẽjā,misc
ʃkjẽẽjā,misc
ʃkẽẽjā,misc
ʃkẽj̃n,misc
nkẽẽãjaá,misc
nkejʔjōʔ,misc
nkeejna,misc
tsʔãh,sust.
nkeeinaʔa,misc
inaʔa,misc
wè,misc
tsʔɔɔjā,misc
lʔɔɔ̄jā,misc
tsʔɔʔ,misc
tsʔɔ̃ɔ̃,misc
tsʔõõjā,misc
tsʔoojā,misc
tsʔɔ̄oojā,misc
naʷm,misc
ntkejn,misc
ʃkieejā,misc
lʔɔʔ,misc
lɔ̃ʔɔ̃ɔ᷈,misc
noʔoojaá,misc
ʔnaʷm,misc
naʔaʷmna,misc
inaʷm,misc
kátsoeʔ,misc
tsumɛɛʔa,misc
tsumɛɛʔjā,misc
snaʷm,misc
katsoeʔ,sust.
tsumɛjʔ,misc
tsumɛjʔẽʔ,misc
hntumɛɛʔjaá,misc
hnmɛjʔna,misc
kaloeʔ,sust.
kjooʔ,sust.
nkjooʔ,misc
kaanoom,sust.
tʃũmẽj̃n,sust.
nũmẽj̃n,misc
kaaso,sust.
kaanso,sust.
kaʃti,sust.
katskuu,sust.
kalkuu,sust.
kaantʃʔjoo,sust.
hnde,adj.
nte,adj.
kjooʔ-ʃke,sust.
ʃke,adj.
kjooʔ-hntʲo,sust.
hndtʲo,adj.
kjooʔ-hndtʲo,sust.
hntʲo,adj.
jūskù,sust.
tsatsʔãh,sust.
kjooʔ-ntʔke,sust.
ntʲkjeeʔ,num.
kjoonʔtʲo,sust.
kjoʔ-hndtʲo,sust.
katsuu,sust.
kantuu,adj.
katʃom,sust.
kaaɲaʷm,sust.
katʃi,sust.
kaantih,sust.
katʃiʔ,sust.
kanti,sust.
ha,pron.
hnɟu-ja,misc
Jesus,misc
Santana,misc
mʔaã-ja,misc
lhooɲe,adv.
na,part.
maheʔnɟo,adv.
kwilʔa-ja,v. intr.
grabacion,misc
ɲhaã,adv.
nakiiʔ,prep.
programa,misc
hnɟu,v. est.
Alianza,misc
de,misc
Lenguas,misc
en,misc
Peligro,misc
kwii,adj.
proyekto,misc
juu,adv.
nnʔã,sust.
mʔaã,v. est.
tmaãʔ,sust.
waa-ɲe,misc
kwilʔuee-na,v. tr.
kwilaʔneĩ,v. tr.
ɲõndaa,sust.
makiaʔ,misc
ɲʔoõ,sust.
luu,misc
kancha,conj.
lʔuu,misc
tʃaʔʃhẽ,adv.
lote-ja,s. pos.
hoonaʔ,pron.
ndɛɛ,sust.
laʔneĩ-na,v. tr.
sɛɛ,conj.
mʔa,misc
nda-ja,misc
ti,sust.
ʃo,misc
hoʔ,conj.
matʃʔeenaʔ,v. est.
kwinckwii,v proc
ɲʔoõ-ja,sust.
ndoʔ,conj.
tsʔiaãʔ,s. pos.
waa-ne,misc
lhoo,adv.
ne,misc
kwilaʔthõ-nɟɔ,v. tr.
nda,s. pos.
hoona,pron.
nckwiiʔ,v. est.
wa,misc
maʃhẽ,adv.
nggwana,misc
ndɛ,sust.
asta,misc
hndɛ,sust.
laʔlheii-na,v. tr.
ɲhõ,adv.
meiĩ,conj.
